"ROUTE","DEST. SIGN CODE","DESTINATION                                                                                        SIGN CODE                                                                            MESSAGE","DIR","DIV","DEPOT",,"LOC.                                                                                              CODE","RES. GROUP LOC. CODE","ALIEN GROUP LOC. CODE","EFFECTIVE
PICK CODE"
"M15*",1151,"+SELECT","S",,126,,"0047","0047","1500","D10"
,,"BUS SERVICE+",,,,,,,,
,,"SOUTH FERRY",,,,,,,,
,,"via 2 AV",,,,,,,,
"M15",1152,"LIMITED","N",,126,,"0044","0044","1500",
,,"EAST HARLEM",,,,,,,,
,,"125 ST",,,,,,,,
,,"via 1 AV",,,,,,,,
"M15",1153,"SOUTH FERRY","S",,126,,"0041","0041","1500",
,,"via 2 AV",,,,,,,,
"M15",1154,"96 ST","N",,126,,"0042","0042","1500",
"M15",1155,"HOUSTON ST","S",,126,,"0041","0041","1500",
,,"via 2 AV",,,,,,,,
"M15",1156,"LIMITED","N",,126,,"0044","0044","1500",
,,"96 ST",,,,,,,,
"M15*",1157,"+SELECT","S",,126,,"0047","0047","1500","D10"
,,"BUS SERVICE+",,,,,,,,
,,"HOUSTON ST",,,,,,,,
,,"via 2 AV",,,,,,,,
"M15",1158,"79 ST","N",,126,,"0042","0042","1500",
"M15",1159,"50 ST","S",,126,,"0041","0041","1500",
"M15",2151,"42 ST","S",,126,,"0041","0041","1500",
"M15*",2152,"+SELECT","N",,126,,"0056","0056","1500","D10"
,,"BUS SERVICE+",,,,,,,,
,,"125 ST",,,,,,,,
,,"via 1 AV",,,,,,,,
"M15",2153,"ST JAMES PL","S",,126,,"0041","0041","1500",
"M15",2154,"72 ST","N",,126,,"0042","0042","1500",
"M15",2155,"PIKE ST-DIVISION ST","S",,126,,"0041","0041","1500","C9"
,,"via 2 AV",,,,,,,,
"M15",2156,"LIMITED","N",,126,,"0044","0044","1500",
,,"72 ST",,,,,,,,
"M15",2157,"LIMITED","S",,126,,"0043","0043","1500","C9"
,,"PIKE ST-DIVISION ST",,,,,,,,
,,"via 2 AV",,,,,,,,
"M15*",2158,"+SELECT","N",,126,,"0056","0056","1500","D10"
,,"BUS SERVICE+",,,,,,,,
,,"96 ST",,,,,,,,
,,"via 1 AV",,,,,,,,
"M15*",2159,"+SELECT","S",,126,,"0047","0047","1500","D10"
,,"BUS SERVICE+",,,,,,,,
,,"14 ST",,,,,,,,
,,"via 2 AV",,,,,,,,
"M15*",8151,"+SELECT","S",,126,,"0047","0047","1500","D10"
,,"BUS SERVICE+",,,,,,,,
,,"23 ST",,,,,,,,
,,"via 2 AV",,,,,,,,
"M15",8152,"57 ST","N",,126,,"0042","0042","1500",
"M15",8153,"LIMITED","S",,126,,"0043","0043","1500",
,,"SOUTH FERRY",,,,,,,,
,,"via 2 AV",,,,,,,,
"M15*",8154,"+SELECT","N",,126,,"0056","0056","1500","D10"
,,"BUS SERVICE+",,,,,,,,
,,"79 ST",,,,,,,,
,,"via 1 AV",,,,,,,,
"M15",8155,"LIMITED","S",,126,,"0043","0043","1500",
,,"HOUSTON ST",,,,,,,,
"M15",8157,"23 ST","S",,126,,"0041","0041","1500",
"M15",8159,"14 ST","S",,126,,"0041","0041","1500",
"M16",1160,"WATERSIDE","E",,"QUILL",,"0046","0045","1500",
,,"via 34 ST",,,,,,,,
,,"via 2 AV",,,,,,,,
"M16",1162,"1 AV","E",,"QUILL",,"0046","0045","1500",
"M16",1163,"P A BUS TERM","W",,"QUILL",,"0045","0045","1500",
,,"via 34 ST",,,,,,,,
,,"via 8 AV",,,,,,,,
"M16",1164,"5 AV","E",,"QUILL",,"0046","0045","1500",
"M16",1167,"5 AV","W",,"QUILL",,"0045","0045","1500","A8"
"M20",1200,"LINCOLN CENTER","N",,"QUILL",,"0100","0100","1500",
,,"66 ST",,,,,,,,
,,"via  8 AV",,,,,,,,
"M20",1203,"CHAMBERS ST","S",,"QUILL",,"0101","0101","1500",
"M20",1207,"SOUTH FERRY","S",,"QUILL",,"0101","0101","1500","C9"
,,"via 7 AV",,,,,,,,
,,"via BATTERY PK CITY",,,,,,,,
"M21",1211,"SOHO","S",,"QUILL",,"0049","0049","1500",
,,"WASHINGTON ST",,,,,,,,
"M21",1214,"LOWER E. SIDE","N",,"QUILL",,"0050","0049","1500","C9"
,,"GRAND-FDR",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M22",1220,"LOWER E. SIDE","E",,"QUILL",,"0052","0051","1500",
,,"FDR DRIVE",,,,,,,,
"M22",1221,"BATTERY PK CITY","W",,"QUILL",,"0051","0051","1500",
,,"VESSEY ST ",,,,,,,,
"M22",1222,"ST JAMES PL","E",,"QUILL",,"0052","0051","1500",
"M22",1223,"ST JAMES PL","W",,"QUILL",,"0051","0051","1500",
"M23",1230,"EAST SIDE","E",,"QUILL",,"0054","0053","1500",
,,"FDR DRIVE",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M23",1231,"CHELSEA PIERS","W",,"QUILL",,"0053","0053","1500",
,,"12 AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M23",1232,"5 AV","E",,"QUILL",,"0054","0053","1500",
"M23",1233,"5 AV","W",,"QUILL",,"0053","0053","1500",
"M31",1310,"YORKVILLE","E",,126,,"0060","0060","1500",
,,"91 ST",,,,,,,,
,,"via YORK AV",,,,,,,,
"M31",1311,"CLINTON","W",,126,,"0059","0059","1500",
,,"11 AV",,,,,,,,
,,"via 57 ST",,,,,,,,
"M31",1312,"YORK-79 ST","E",,126,,"0060","0060","1500",
"M31",1313,"8 AV-57 ST","W",,126,,"0059","0059","1500",
"M31",1314,"YORK-72 ST","E",,126,,"0060","0060","1500",
"M31",1316,"SUTTON PL","E",,126,,"0060","0060","1500",
"M31",8311,"SUTTON PL","W",,126,,"0059","0059","1500",
"M34",1340,"EAST SIDE","E",,"QUILL",,"0062","0061","1500",
,,"FDR DRIVE",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M34",1341,"JAVITS CENTER","W",,"QUILL",,"0061","0061","1500",
,,"12 AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M34",1342,"5 AV","E",,"QUILL",,"0062","0061","1500",
"M34",1343,"12 AV","W",,"QUILL",,"0061","0061","1500","B9"
,,"CROSSTOWN",,,,,,,,
"M34",1344,"7 AV","E",,"QUILL",,"0062","0061","1500",
"M34",1345,"5 AV","W",,"QUILL",,"0061","0061","1500",
"M35",1350,"WARDS ISLAND","E",,126,,"0048","0048","1500",
"M35",1351,"HARLEM","W",,126,,"0565","0048","1500",
,,"LEX AV-125",,,,,,,,
"M35",1354,"RANDALLS IS","E",,126,,"0048","0048","1500",
"M42",1420,"EAST SIDE","E",,"QUILL",,"0064","0063","1500",
,,"U N-1 AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M42",1422,"GRAND CENTRAL","E",,"QUILL",,"0064","0063","1500",
"M42",1423,"WEST SIDE PIER","W",,"QUILL",,"0063","0063","1500",
,,"12 AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M42",1424,"EAST SIDE","E",,"QUILL",,"0064","0063","1500",
,,"2 AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M42",1425,"8 AV","W",,"QUILL",,"0063","0063","1500",
"M50",1500,"EAST SIDE","E",,"QUILL/MTV",,"0034","0033","1500",
,,"U N-1 AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M50",1501,"WEST SIDE","W",,"QUILL/MTV",,"0033","0033","1500",
,,"42 ST PIER",,,,,,,,
