DEPOT,AUTH_ID,PASS_NUMBER,ROUTE,RUN_NUMBER,SERV_ID,DATE,TIMESTAMP
LGAT,RB,B02855,Q53,303,0,2011-11-11,2011-11-04 12:19:04
LGAT,RB,B02856,Q23,351,0,2011-11-11,2011-11-10 23:59:04
LGAT,RB,B02860,Q103,301,0,2011-11-11,2011-11-10 23:58:27
LGAT,RB,B02861,Q18,801,0,2011-11-11,2011-11-10 23:58:11
LGAT,RB,B02862,Q69,901,0,2011-11-11,2011-11-10 11:11:17
LGAT,RB,B02864,QM12,207,0,2011-11-11,2011-11-05 08:45:38
LGAT,RB,B02865,Q23,315,0,2011-11-11,2011-11-10 23:58:46
LGAT,RB,B02866,Q23,306,0,2011-11-11,2011-11-10 23:58:22
LGAT,RB,B02866,LGAT,006,0,2011-11-11,2011-11-11 05:18:24
LGAT,RB,B02866,LGAT,FL1,0,2011-11-11,2011-11-11 05:17:41
LGAT,RB,B02867,QM24,406,0,2011-11-11,2011-11-10 23:58:32
LGAT,RB,B02867,LGAT,001,,2011-11-11,2011-11-04 10:11:43
LGAT,RB,B02868,Q47,748,0,2011-11-11,2011-11-10 23:59:04
LGAT,RB,B02869,Q23,350,0,2011-11-11,2011-11-10 23:59:02
LGAT,RB,B02871,Q29,981,0,2011-11-11,2011-11-10 23:58:28
LGAT,RB,B02871,Q49,941,0,2011-11-11,2011-11-10 23:58:53
